제품군,항목명,설명
식물생활가전,발아율,"일정한 양의 씨앗 가운데 발아할 수 있는 씨앗의 비율, 즉 뿌린 씨앗에 대하여 발아한 씨앗의 비율을 의미합니다."
식물생활가전,성장기간(평균),"식물의 성장기간과 개화시기는 생물의 특성 상 재배 환경(온도 및 습도)의 영향을 받습니다. * 표기된 성장기간/개화시기는 `온도 22℃, 상대습도 60%` 조건의 자사 내부 실험데이터 기준의 평균치입니다."
